"Supplementary_Data_1. List of plant species selected for the study, including details of the plant part used, extraction method, and corresponding references. The database(s) referred to for data collection are also included.",,,,,
Taxa,Plant part_Methodology,Year,Author_Year,Database,References
Rosmarinus officinalis L.,Whole plant/Essential Oil,2006,"Latif Gachkar, Davood Yadegari, Mohammad Bagher Rezaei , Masood Taghizadeh, Shakiba Alipoor Astaneh , Iraj Rasooli/2006",AROMADB-CIMAP,"Gachkar, L., Yadegari, D., Rezaei, M. B., Taghizadeh, M., Astaneh, S. A., & Rasooli, I. (2007). Chemical and biological characteristics of Cuminum cyminum and Rosmarinus officinalis essential oils. Food chemistry, 102(3), 898-904."
Magnolia grandiflora,Leaves/Essential oil,2013,"Laura Guerra-Boone , Rocío Álvarez-Román, Ricardo Salazar-Aranda , Anabel Torres-Cirio , Verónica Mayela Rivas-Galindo, Noemí Waksman de Torres , Gloria María González González , and Luis Alejandro Pérez-López/2013",AROMADB-CIMAP,"Guerra-Boone, L., Álvarez-Román, R., Salazar-Aranda, R., Torres-Cirio, A., Rivas-Galindo, V. M., de Torres, N. W., ... & Pérez-López, L. A. (2013). Chemical compositions and antimicrobial and antioxidant activities of the essential oils from Magnolia grandiflora, Chrysactinia mexicana, and Schinus molle found in northeast Mexico. Natural Product Communications, 8(1), 1934578X1300800133."
Chrysactinia mexicana(Colourless),Leaves/Essential oil,2013,"Laura Guerra-Boone , Rocío Álvarez-Román, Ricardo Salazar-Aranda , Anabel Torres-Cirio , Verónica Mayela Rivas-Galindo, Noemí Waksman de Torres , Gloria María González González , and Luis Alejandro Pérez-López/2013",AROMADB-CIMAP,"Guerra-Boone, L., Álvarez-Román, R., Salazar-Aranda, R., Torres-Cirio, A., Rivas-Galindo, V. M., de Torres, N. W., ... & Pérez-López, L. A. (2013). Chemical compositions and antimicrobial and antioxidant activities of the essential oils from Magnolia grandiflora, Chrysactinia mexicana, and Schinus molle found in northeast Mexico. Natural Product Communications, 8(1), 1934578X1300800133."
Chrysactinia mexicana(Yellow),Leaves/Essential oil,2013,"Laura Guerra-Boone , Rocío Álvarez-Román, Ricardo Salazar-Aranda , Anabel Torres-Cirio , Verónica Mayela Rivas-Galindo, Noemí Waksman de Torres , Gloria María González González , and Luis Alejandro Pérez-López/2013",AROMADB-CIMAP,"Guerra-Boone, L., Álvarez-Román, R., Salazar-Aranda, R., Torres-Cirio, A., Rivas-Galindo, V. M., de Torres, N. W., ... & Pérez-López, L. A. (2013). Chemical compositions and antimicrobial and antioxidant activities of the essential oils from Magnolia grandiflora, Chrysactinia mexicana, and Schinus molle found in northeast Mexico. Natural Product Communications, 8(1), 1934578X1300800133."
Schinus molle(Colourless),Leaves/Essential oil,2013,"Laura Guerra-Boone , Rocío Álvarez-Román, Ricardo Salazar-Aranda , Anabel Torres-Cirio , Verónica Mayela Rivas-Galindo, Noemí Waksman de Torres , Gloria María González González , and Luis Alejandro Pérez-López/2013",AROMADB-CIMAP,"Guerra-Boone, L., Álvarez-Román, R., Salazar-Aranda, R., Torres-Cirio, A., Rivas-Galindo, V. M., de Torres, N. W., ... & Pérez-López, L. A. (2013). Chemical compositions and antimicrobial and antioxidant activities of the essential oils from Magnolia grandiflora, Chrysactinia mexicana, and Schinus molle found in northeast Mexico. Natural Product Communications, 8(1), 1934578X1300800133."
Schinus molle(Yellow),Leaves/Essential oil,2013,"Laura Guerra-Boone , Rocío Álvarez-Román, Ricardo Salazar-Aranda , Anabel Torres-Cirio , Verónica Mayela Rivas-Galindo, Noemí Waksman de Torres , Gloria María González González , and Luis Alejandro Pérez-López/2013",AROMADB-CIMAP,"Guerra-Boone, L., Álvarez-Román, R., Salazar-Aranda, R., Torres-Cirio, A., Rivas-Galindo, V. M., de Torres, N. W., ... & Pérez-López, L. A. (2013). Chemical compositions and antimicrobial and antioxidant activities of the essential oils from Magnolia grandiflora, Chrysactinia mexicana, and Schinus molle found in northeast Mexico. Natural Product Communications, 8(1), 1934578X1300800133."
Schinus molle(Colourless),Fruits/Essential oil,2013,"Laura Guerra-Boone , Rocío Álvarez-Román, Ricardo Salazar-Aranda , Anabel Torres-Cirio , Verónica Mayela Rivas-Galindo, Noemí Waksman de Torres , Gloria María González González , and Luis Alejandro Pérez-López/2013",AROMADB-CIMAP,"Guerra-Boone, L., Álvarez-Román, R., Salazar-Aranda, R., Torres-Cirio, A., Rivas-Galindo, V. M., de Torres, N. W., ... & Pérez-López, L. A. (2013). Chemical compositions and antimicrobial and antioxidant activities of the essential oils from Magnolia grandiflora, Chrysactinia mexicana, and Schinus molle found in northeast Mexico. Natural Product Communications, 8(1), 1934578X1300800133."
Schinus molle(Yellow),Fruits/Essential oil,2013,"Laura Guerra-Boone , Rocío Álvarez-Román, Ricardo Salazar-Aranda , Anabel Torres-Cirio , Verónica Mayela Rivas-Galindo, Noemí Waksman de Torres , Gloria María González González , and Luis Alejandro Pérez-López/2013",AROMADB-CIMAP,"Guerra-Boone, L., Álvarez-Román, R., Salazar-Aranda, R., Torres-Cirio, A., Rivas-Galindo, V. M., de Torres, N. W., ... & Pérez-López, L. A. (2013). Chemical compositions and antimicrobial and antioxidant activities of the essential oils from Magnolia grandiflora, Chrysactinia mexicana, and Schinus molle found in northeast Mexico. Natural Product Communications, 8(1), 1934578X1300800133."
Bauhinia pulchella,Leaves/Essential oil,2016,"Leôncio M. de Sousa, Jarbas L. de Carvalho, Roberto W. S. Gois, Horlando C. da Silva, Gilvandete M. P. Santiago , Telma L. G. Lemos, Angela M. C. Arriaga, Péricles B. Alves, Iara L. de Matos, Gardênia C G. Militão4, Paulo B. N. da Silva
and Teresinha G. da Silva/2014",AROMADB-CIMAP,"de Sousa, L. M., de Carvalho, J. L., Gois, R. W., da Silva, H. C., Santiago, G. M., Lemos, T. L., ... & da Silva, T. G. (2016). Chemical composition, larvicidal and cytotoxic activities of the essential oils from two Bauhinia species. Records of Natural Products, 10(3), 341."
Bauhinia ungulata,Leaves/Essential oil,2016,"Leôncio M. de Sousa, Jarbas L. de Carvalho, Roberto W. S. Gois, Horlando C. da Silva, Gilvandete M. P. Santiago , Telma L. G. Lemos, Angela M. C. Arriaga, Péricles B. Alves, Iara L. de Matos, Gardênia C G. Militão4, Paulo B. N. da Silva
and Teresinha G. da Silva/2014",AROMADB-CIMAP,"de Sousa, L. M., de Carvalho, J. L., Gois, R. W., da Silva, H. C., Santiago, G. M., Lemos, T. L., ... & da Silva, T. G. (2016). Chemical composition, larvicidal and cytotoxic activities of the essential oils from two Bauhinia species. Records of Natural Products, 10(3), 341."
Anethum graveolens L,Seeds/Essential Oil,2003,"LEOPOLD JIROVETZ, GERHARD BUCHBAUER, ALBENA S. STOYANOVA, EVGENII V. GEORGIEV,AND STANKA T. DAMIANOVA/2003",AROMADB-CIMAP,"Jirovetz, L., Buchbauer, G., Stoyanova, A. S., Georgiev, E. V., & Damianova, S. T. (2003). Composition, quality control, and antimicrobial activity of the essential oil of long-time stored dill (Anethum graveolens L.) seeds from Bulgaria. Journal of Agricultural and food Chemistry, 51(13), 3854-3857."
Alpinia galanga,Leaves/Essential Oil,2003,"LEOPOLD JIROVETZ,GERHARD BUCHBAUER, MOHAMED POTTACHOLA SHAFI, NEETTIYATH KALATHIL LEELA/2003",AROMADB-CIMAP,"Jirovetz, L., Buchbauer, G., Shafi, M. P., & Leela, N. K. (2003). Analysis of the essential oils of the leaves, stems, rhizomes and roots of the medicinal plant Alpinia galanga from southern India. Acta Pharmaceutica-Zagreb-, 53(2), 73-82."
Alpinia galanga,Stems/Essential Oil,2003,"LEOPOLD JIROVETZ,GERHARD BUCHBAUER, MOHAMED POTTACHOLA SHAFI, NEETTIYATH KALATHIL LEELA/2003",AROMADB-CIMAP,"Jirovetz, L., Buchbauer, G., Shafi, M. P., & Leela, N. K. (2003). Analysis of the essential oils of the leaves, stems, rhizomes and roots of the medicinal plant Alpinia galanga from southern India. Acta Pharmaceutica-Zagreb-, 53(2), 73-82."
Alpinia galanga,Rhizomes/Essential Oil,2003,"LEOPOLD JIROVETZ,GERHARD BUCHBAUER, MOHAMED POTTACHOLA SHAFI, NEETTIYATH KALATHIL LEELA/2003",AROMADB-CIMAP,"Jirovetz, L., Buchbauer, G., Shafi, M. P., & Leela, N. K. (2003). Analysis of the essential oils of the leaves, stems, rhizomes and roots of the medicinal plant Alpinia galanga from southern India. Acta Pharmaceutica-Zagreb-, 53(2), 73-82."
Alpinia galanga,Roots/Essential Oil,2003,"LEOPOLD JIROVETZ,GERHARD BUCHBAUER, MOHAMED POTTACHOLA SHAFI, NEETTIYATH KALATHIL LEELA/2003",AROMADB-CIMAP,"Jirovetz, L., Buchbauer, G., Shafi, M. P., & Leela, N. K. (2003). Analysis of the essential oils of the leaves, stems, rhizomes and roots of the medicinal plant Alpinia galanga from southern India. Acta Pharmaceutica-Zagreb-, 53(2), 73-82."
Cayratia japonica,Aerial parts_EO,2012,Liu_2012,AROMADB-CIMAP,"Zhi Long Liu , Kai Yang , Fan Huang , Qi Zhi Liu , Ligang Zhou & Shu Shan Du (2012) Chemical composition and toxicity of the essential oil of Cayratia japonica against two grain storage insects, Journal of Essential Oil Research, 24:3, 237-240, DOI: 10.1080/10412905.2012.676765"
Salvia sclarea,Aerial parts/Essential Oil,2009,"Lukasz Ku?ma, Danuta Kalemba, Marek Ró?alski , Barbara Ró?alska , Marzena Wi?ckowska-Szakiel , Urszula Krajewska and Halina Wysoki?ska/2009",AROMADB-CIMAP,"Ku?ma, ?., Kalemba, D., Ró?alski, M., Ró?alska, B., Wi?ckowska-Szakiel, M., Krajewska, U., & Wysoki?ska, H. (2009). Chemical composition and biological activities of essential oil from Salvia sclarea plants regenerated in vitro. Molecules, 14(4), 1438-1447."
Eucalyptus camaldulensis Dehn,Leaves/Essential Oil,2010,"M. Akin , A. Aktumsek and A. Nostro/2010",AROMADB-CIMAP,"Akin, M., Aktumsek, A., & Nostro, A. (2010). Antibacterial activity and composition of the essential oils of Eucalyptus camaldulensis Dehn. and Myrtus communis L. growing in Northern Cyprus. African journal of biotechnology, 9(4)."
Myrtus communis,Leaves/Essential Oil,2010,"M. Akin , A. Aktumsek and A. Nostro/2010",AROMADB-CIMAP,"Akin, M., Aktumsek, A., & Nostro, A. (2010). Antibacterial activity and composition of the essential oils of Eucalyptus camaldulensis Dehn. and Myrtus communis L. growing in Northern Cyprus. African journal of biotechnology, 9(4)."
Lavandula latifolia Medik,Fresh Flowers/ Dry Flowers/ Essential Oil,2002,M. M. Barazandeh/2002,AROMADB-CIMAP,"Barazandeh, M. M. (2002). Essential oil composition of Lavandula latifolia Medik from Iran. Journal of Essential Oil Research, 14(2), 103-104."
Cananga odorata,Essential Oil,1998,"M. Tiziana Baratta, H.J. Damien Dorman, Stanley G.Deans, A. Cristina Figueiredo,JoseÂ G. Barroso and Giuseppe Ruberto / 1998",AROMADB-CIMAP,"Baratta, M. T., Dorman, H. D., Deans, S. G., Figueiredo, A. C., Barroso, J. G., & Ruberto, G. (1998). Antimicrobial and antioxidant properties of some commercial essential oils. Flavour and fragrance journal, 13(4), 235-244."
Ocimum basilicum L.,Essential Oil,1998,"M. Tiziana Baratta, H.J. Damien Dorman, Stanley G.Deans, A. Cristina Figueiredo,JoseÂ G. Barroso and Giuseppe Ruberto / 1998",AROMADB-CIMAP,"Baratta, M. T., Dorman, H. D., Deans, S. G., Figueiredo, A. C., Barroso, J. G., & Ruberto, G. (1998). Antimicrobial and antioxidant properties of some commercial essential oils. Flavour and fragrance journal, 13(4), 235-244."
"Cymbopogon citratus
Stapf.)",Essential Oil,1998,"M. Tiziana Baratta, H.J. Damien Dorman, Stanley G.Deans, A. Cristina Figueiredo,JoseÂ G. Barroso and Giuseppe Ruberto / 1998",AROMADB-CIMAP,"Baratta, M. T., Dorman, H. D., Deans, S. G., Figueiredo, A. C., Barroso, J. G., & Ruberto, G. (1998). Antimicrobial and antioxidant properties of some commercial essential oils. Flavour and fragrance journal, 13(4), 235-244."
Citrus limon L.,Essential Oil,1998,"M. Tiziana Baratta, H.J. Damien Dorman, Stanley G.Deans, A. Cristina Figueiredo,JoseÂ G. Barroso and Giuseppe Ruberto / 1998",AROMADB-CIMAP,"Baratta, M. T., Dorman, H. D., Deans, S. G., Figueiredo, A. C., Barroso, J. G., & Ruberto, G. (1998). Antimicrobial and antioxidant properties of some commercial essential oils. Flavour and fragrance journal, 13(4), 235-244."
Boswellia thurifera,Essential Oil,1998,"M. Tiziana Baratta, H.J. Damien Dorman, Stanley G.Deans, A. Cristina Figueiredo,JoseÂ G. Barroso and Giuseppe Ruberto / 1998",AROMADB-CIMAP,"Baratta, M. T., Dorman, H. D., Deans, S. G., Figueiredo, A. C., Barroso, J. G., & Ruberto, G. (1998). Antimicrobial and antioxidant properties of some commercial essential oils. Flavour and fragrance journal, 13(4), 235-244."
Marjorana hortensis,Essential Oil,1998,"M. Tiziana Baratta, H.J. Damien Dorman, Stanley G.Deans, A. Cristina Figueiredo,JoseÂ G. Barroso and Giuseppe Ruberto / 1998",AROMADB-CIMAP,"Baratta, M. T., Dorman, H. D., Deans, S. G., Figueiredo, A. C., Barroso, J. G., & Ruberto, G. (1998). Antimicrobial and antioxidant properties of some commercial essential oils. Flavour and fragrance journal, 13(4), 235-244."
Rosmarinus officinalis L.,Essential Oil,1998,"M. Tiziana Baratta, H.J. Damien Dorman, Stanley G.Deans, A. Cristina Figueiredo,JoseÂ G. Barroso and Giuseppe Ruberto / 1998",AROMADB-CIMAP,"Baratta, M. T., Dorman, H. D., Deans, S. G., Figueiredo, A. C., Barroso, J. G., & Ruberto, G. (1998). Antimicrobial and antioxidant properties of some commercial essential oils. Flavour and fragrance journal, 13(4), 235-244."
Cinnamomum zeylanicum Nees,Essential Oil,1998,"M. Tiziana Baratta, H.J. Damien Dorman, Stanley G.Deans, A. Cristina Figueiredo,JoseÂ G. Barroso and Giuseppe Ruberto / 1998",AROMADB-CIMAP,"Baratta, M. T., Dorman, H. D., Deans, S. G., Figueiredo, A. C., Barroso, J. G., & Ruberto, G. (1998). Antimicrobial and antioxidant properties of some commercial essential oils. Flavour and fragrance journal, 13(4), 235-244."
Cymbopogon nardus,Leaf_EO,2003,Mahalwal_2003,AROMADB-CIMAP,"Mahalwal, V. S., & Ali, M. (2003). Volatile constituents of Cymbopogon nardus (Linn.) Rendle. Flavour and fragrance journal, 18(1), 73-76."
Eugenia uniflora,Leaf_ThinBranches_EO,1999,Maia_1999,AROMADB-CIMAP,"Maia, J. G. S., Andrade, E. H. A., Da Silva, M. H. L., & Zoghbi, M. G. B. (1999). A new chemotype of Eugenia uniflora L. from North Brazil. Journal of Essential Oil Research, 11(6), 727-729."
Thevetia peruviana,Flowers_EO,2000,Maia_2000,AROMADB-CIMAP,"Maia, J. G. S., Zoghbi, M. D. G. B., Andrade, E. H. A., & Carreira, L. M. M. (2000). Volatiles from flowers of Thevetia Peruviana (pers.) k. Schum. and Allamanda cathartics linn.(Apocynaceae). Journal of essential oil Research, 12(3), 322-324."
Allamanda cathartica,Flowers_EO,2000,Maia_2000,AROMADB-CIMAP,"Maia, J. G. S., Zoghbi, M. D. G. B., Andrade, E. H. A., & Carreira, L. M. M. (2000). Volatiles from flowers of Thevetia Peruviana (pers.) k. Schum. and Allamanda cathartics linn.(Apocynaceae). Journal of essential oil Research, 12(3), 322-324."
Acacia caven,Flowers_EO,2002,Malizia_2002,AROMADB-CIMAP,"Malizia, R. A., Cardell, D. A., Molli, J. S., & Grau, R. J. (2002). Volatile constituents of Acacia caven (Mol.) Mol. flower concrete from species growing in Argentina. Journal of Essential Oil Research, 14(2), 132-134."
Murraya koenigii,Leaf_EO,2000,Mallavarapu_2000,AROMADB-CIMAP,"Mallavarapu, G. R., Rao, L., & Ramesh, S. (2000). Volatile constituents of the leaf and fruit oils of Murraya koenigii Spreng. Journal of Essential Oil Research, 12(6), 766-768."
Murraya koenigii,Fruit_EO,2000,Mallavarapu_2000,AROMADB-CIMAP,"Mallavarapu, G. R., Rao, L., & Ramesh, S. (2000). Volatile constituents of the leaf and fruit oils of Murraya koenigii Spreng. Journal of Essential Oil Research, 12(6), 766-768."
Annona cherimola,Leaves/Essential Oil,2003,"María Yolanda Ríos,Federico Castrejón,Norma Robledo,Ismael León, Gabriela Rojas
and Víctor Navarro/2003",AROMADB-CIMAP,"Ríos, M. Y., Castrejón, F., Robledo, N., León, I., Rojas, G., & Navarro, V. (2003). Chemical composition and antimicrobial activity of the essential oils from Annona cherimola (Annonaceae). Revista de la sociedad Quimica de Mexico, 47(2), 139-142."
Annona cherimola,Flower/Essential Oil,2003,"María Yolanda Ríos,Federico Castrejón,Norma Robledo,Ismael León, Gabriela Rojas
and Víctor Navarro/2003",AROMADB-CIMAP,"Ríos, M. Y., Castrejón, F., Robledo, N., León, I., Rojas, G., & Navarro, V. (2003). Chemical composition and antimicrobial activity of the essential oils from Annona cherimola (Annonaceae). Revista de la sociedad Quimica de Mexico, 47(2), 139-142."
Annona cherimola,Fruits/Essential Oil,2003,"María Yolanda Ríos,Federico Castrejón,Norma Robledo,Ismael León, Gabriela Rojas
and Víctor Navarro/2003",AROMADB-CIMAP,"Ríos, M. Y., Castrejón, F., Robledo, N., León, I., Rojas, G., & Navarro, V. (2003). Chemical composition and antimicrobial activity of the essential oils from Annona cherimola (Annonaceae). Revista de la sociedad Quimica de Mexico, 47(2), 139-142."
"(2004): 2485-2489. 4. Abdellatif, Fahima, et al. """"Chemical composition and antimicrobial activity of the essential oil from leaves",Fresh plant parts/Essential oil,2005,"Marta Cristina Teixeira Duarte, Glyn Mara Figueira, Adilson Sartoratto, Vera Lucia Garcia Rehder, Camila Delarmelina/2005",AROMADB-CIMAP,"Duarte, M. C. T., Figueira, G. M., Sartoratto, A., Rehder, V. L. G., & Delarmelina, C. (2005). Anti-Candida activity of Brazilian medicinal plants. Journal of ethnopharmacology, 97(2), 305-311."
Anthemis nobilis,Fresh plant parts/Essential oil,2005,"Marta Cristina Teixeira Duarte, Glyn Mara Figueira, Adilson Sartoratto, Vera Lucia Garcia Rehder, Camila Delarmelina/2005",AROMADB-CIMAP,"Duarte, M. C. T., Figueira, G. M., Sartoratto, A., Rehder, V. L. G., & Delarmelina, C. (2005). Anti-Candida activity of Brazilian medicinal plants. Journal of ethnopharmacology, 97(2), 305-311."
Cymbopogon martini,Fresh plant parts/Essential oil,2005,"Marta Cristina Teixeira Duarte, Glyn Mara Figueira, Adilson Sartoratto, Vera Lucia Garcia Rehder, Camila Delarmelina/2005",AROMADB-CIMAP,"Duarte, M. C. T., Figueira, G. M., Sartoratto, A., Rehder, V. L. G., & Delarmelina, C. (2005). Anti-Candida activity of Brazilian medicinal plants. Journal of ethnopharmacology, 97(2), 305-311."
Cymbopogon winterianus,Fresh plant parts/Essential oil,2005,"Marta Cristina Teixeira Duarte, Glyn Mara Figueira, Adilson Sartoratto, Vera Lucia Garcia Rehder, Camila Delarmelina/2005",AROMADB-CIMAP,"Duarte, M. C. T., Figueira, G. M., Sartoratto, A., Rehder, V. L. G., & Delarmelina, C. (2005). Anti-Candida activity of Brazilian medicinal plants. Journal of ethnopharmacology, 97(2), 305-311."
Cyperus articulatus,Fresh plant parts/Essential oil,2005,"Marta Cristina Teixeira Duarte, Glyn Mara Figueira, Adilson Sartoratto, Vera Lucia Garcia Rehder, Camila Delarmelina/2005",AROMADB-CIMAP,"Duarte, M. C. T., Figueira, G. M., Sartoratto, A., Rehder, V. L. G., & Delarmelina, C. (2005). Anti-Candida activity of Brazilian medicinal plants. Journal of ethnopharmacology, 97(2), 305-311."
Cyperus rotundus,Fresh plant parts/Essential oil,2005,"Marta Cristina Teixeira Duarte, Glyn Mara Figueira, Adilson Sartoratto, Vera Lucia Garcia Rehder, Camila Delarmelina/2005",AROMADB-CIMAP,"Duarte, M. C. T., Figueira, G. M., Sartoratto, A., Rehder, V. L. G., & Delarmelina, C. (2005). Anti-Candida activity of Brazilian medicinal plants. Journal of ethnopharmacology, 97(2), 305-311."
Lippia alba,Fresh plant parts/Essential oil,2005,"Marta Cristina Teixeira Duarte, Glyn Mara Figueira, Adilson Sartoratto, Vera Lucia Garcia Rehder, Camila Delarmelina/2005",AROMADB-CIMAP,"Duarte, M. C. T., Figueira, G. M., Sartoratto, A., Rehder, V. L. G., & Delarmelina, C. (2005). Anti-Candida activity of Brazilian medicinal plants. Journal of ethnopharmacology, 97(2), 305-311."
Mentha arvensis,Fresh plant parts/Essential oil,2005,"Marta Cristina Teixeira Duarte, Glyn Mara Figueira, Adilson Sartoratto, Vera Lucia Garcia Rehder, Camila Delarmelina/2005",AROMADB-CIMAP,"Duarte, M. C. T., Figueira, G. M., Sartoratto, A., Rehder, V. L. G., & Delarmelina, C. (2005). Anti-Candida activity of Brazilian medicinal plants. Journal of ethnopharmacology, 97(2), 305-311."
Mikania glomerata,Fresh plant parts/Essential oil,2005,"Marta Cristina Teixeira Duarte, Glyn Mara Figueira, Adilson Sartoratto, Vera Lucia Garcia Rehder, Camila Delarmelina/2005",AROMADB-CIMAP,"Duarte, M. C. T., Figueira, G. M., Sartoratto, A., Rehder, V. L. G., & Delarmelina, C. (2005). Anti-Candida activity of Brazilian medicinal plants. Journal of ethnopharmacology, 97(2), 305-311."
Mentha piperita,Fresh plant parts/Essential oil,2005,"Marta Cristina Teixeira Duarte, Glyn Mara Figueira, Adilson Sartoratto, Vera Lucia Garcia Rehder, Camila Delarmelina/2005",AROMADB-CIMAP,"Duarte, M. C. T., Figueira, G. M., Sartoratto, A., Rehder, V. L. G., & Delarmelina, C. (2005). Anti-Candida activity of Brazilian medicinal plants. Journal of ethnopharmacology, 97(2), 305-311."
Stachys byzantina,Fresh plant parts/Essential oil,2005,"Marta Cristina Teixeira Duarte, Glyn Mara Figueira, Adilson Sartoratto, Vera Lucia Garcia Rehder, Camila Delarmelina/2005",AROMADB-CIMAP,"Duarte, M. C. T., Figueira, G. M., Sartoratto, A., Rehder, V. L. G., & Delarmelina, C. (2005). Anti-Candida activity of Brazilian medicinal plants. Journal of ethnopharmacology, 97(2), 305-311."
Ageratum conyzoides,AerialParts_EO,2005,Martins_2005,AROMADB-CIMAP,"Martins, A. P., Salgueiro, L. R., Gonçalves, M. J., Vila, R., Cañigueral, S., Tomi, F., & Casanova, J. (2005). Essential oil composition and antimicrobial activity of Ageratum conyzoides from S. Tomé and Príncipe. Journal of Essential Oil Research, 17(3), 239-242."
Viola odorata L.,Leaves/Essential Oil,2012,"Maryam Akhbaria, Hossein Batoolib and Fereshteh Jookar Kashi/2012",AROMADB-CIMAP,"Akhbari, M., Batooli, H., & Kashi, F. J. (2012). Composition of essential oil and biological activity of extracts of Viola odorata L. from central Iran. Natural product research, 26(9), 802-809."
Pistacia vera L.,Gum/Essential Oil,2004,"MEHMET HAKKI ALMA, SIEGFRIED NITZ,  HUBERT KOLLMANNSBERGER,  METIN DIGRAK,  FATIH TUNCAY EFE,  AND NECMETTIN YILMAZ/2004",AROMADB-CIMAP,"Alma, M. H., Nitz, S., Kollmannsberger, H., Digrak, M., Efe, F. T., & Yilmaz, N. (2004). Chemical composition and antimicrobial activity of the essential oils from the gum of Turkish pistachio (Pistacia vera L.). Journal of agricultural and food chemistry, 52(12), 3911-3914."
Melissa officinalis,Essential Oil,2004,Mimica,AROMADB-CIMAP,"Mimica-Dukic, N., Bozin, B., Sokovic, M., & Simin, N. (2004). Antimicrobial and antioxidant activities of Melissa officinalis L.(Lamiaceae) essential oil. Journal of agricultural and food chemistry, 52(9), 2485-2489."
Mentha longifolia,Leaf_EO,2009,Mkaddem_2009,AROMADB-CIMAP,"Mkaddem, M., Bouajila, J., Ennajar, M., Lebrihi, A., Mathieu, F., & Romdhane, M. (2009). Chemical composition and antimicrobial and antioxidant activities of Mentha (longifolia L. and viridis) essential oils. Journal of food science, 74(7), M358-M363."
Mentha viridis,Leaf_EO,2009,Mkaddem_2009,AROMADB-CIMAP,"Mkaddem, M., Bouajila, J., Ennajar, M., Lebrihi, A., Mathieu, F., & Romdhane, M. (2009). Chemical composition and antimicrobial and antioxidant activities of Mentha (longifolia L. and viridis) essential oils. Journal of food science, 74(7), M358-M363."
Pelargonium graveolens,Leaf_EO,2011,Mnif_2011,AROMADB-CIMAP,"Mnif, W., Dhifi, W., Jelali, N., Baaziz, H., Hadded, A., & Hamdi, N. (2011). Characterization of leaves essential oil of Pelargonium graveolens originating from Tunisia: chemical composition, antioxidant and biological activities. Journal of Essential Oil Bearing Plants, 14(6), 761-769."
Pelargonium graveolens,"leaves, flowers,stalks/ Geranium oil",2012,"Monika Bigos, Ma?gorzata Wasiela , Danuta Kalemba and Monika Sienkiewicz/2012",AROMADB-CIMAP,"Bigos, M., Wasiela, M., Kalemba, D., & Sienkiewicz, M. (2012). Antimicrobial activity of geranium oil against clinical strains of Staphylococcus aureus. Molecules, 17(9), 10276-10291."
Piper auritum,Essential Oil,2010,Monzote,AROMADB-CIMAP,"Monzote, L., García, M., Montalvo, A. M., Scull, R., & Miranda, M. (2010). Chemistry, cytotoxicity and antileishmanial activity of the essential oil from Piper auritum. Memórias do Instituto Oswaldo Cruz, 105, 168-173."
Nepeta cataria,FloweringAerialParts_EO,2004,Morteza-Semnani_2004,AROMADB-CIMAP,"Morteza-Semnani, K., & Saeedi, M. (2004). Essential oils composition of Nepeta cataria L. and Nepeta crassifolia Boiss. and Buhse from Iran. Journal of Essential Oil Bearing Plants, 7(2), 120-124."
Nepeta crassifolia,FloweringAerialParts_EO,2004,Morteza-Semnani_2004,AROMADB-CIMAP,"Morteza-Semnani, K., & Saeedi, M. (2004). Essential oils composition of Nepeta cataria L. and Nepeta crassifolia Boiss. and Buhse from Iran. Journal of Essential Oil Bearing Plants, 7(2), 120-124."
Clinopodium vulgare,FloweringAerialParts_EO,2009,Morteza-Semnani_2009,AROMADB-CIMAP,"Morteza-Semnani, K., Saeedi, M., & Akbarzadeh, M. (2009). The essential oil composition of Clinopodium vulgare L. from Iran. Journal of Essential Oil Research, 21(1), 31-32."
Achillea ageratum,FloweringAerialParts_EO,2007,Muselli_2007,AROMADB-CIMAP,"Muselli, A., Desjobert, J. M., Bernardini, A. F., & Costa, J. (2007). Santolina alcohol as component of the essential oil of Achillea ageratum L. from Corsica Island. Journal of Essential Oil Research, 19(4), 319-322."
Marrubium vulgare,FloweringAerialParts_EO,1998,Nagy_1998,AROMADB-CIMAP,"Nagy, M., & Svajdlenka, E. (1998). Comparison of Essential Oils from Marrubium vulgare L. and M. peregrinum L. Journal of Essential Oil Research, 10(5), 585-587."
Marrubium peregrinum,FloweringAerialParts_EO,1998,Nagy_1998,AROMADB-CIMAP,"Nagy, M., & Svajdlenka, E. (1998). Comparison of Essential Oils from Marrubium vulgare L. and M. peregrinum L. Journal of Essential Oil Research, 10(5), 585-587."
Gymnema sylvestre,Leaf_EO,2011,Naik_2011,AROMADB-CIMAP,"Naik, D. G., Dandge, C. N., & Rupanar, S. V. (2011). Chemical examination and evaluation of antioxidant and antimicrobial activities of essential oil from Gymnema sylvestre R. Br. leaves. Journal of Essential Oil Research, 23(3), 12-19."
Cuminum cyminum,Dry fruits/Essential Oil,2005,"NICOLA S. IACOBELLIs,PIETRO LO CANTORE, FRANCESCO CAPASSO, AND FELICE SENATORE/2005",AROMADB-CIMAP,"Iacobellis, N. S., Lo Cantore, P., Capasso, F., & Senatore, F. (2005). Antibacterial activity of Cuminum cyminum L. and Carum carvi L. essential oils. Journal of agricultural and food chemistry, 53(1), 57-61."
