"Supplementary_Data_1. List of plant species selected for the study, including details of the plant part used, extraction method, and corresponding references. The database(s) referred to for data collection are also included.",,,,,
Taxa,Plant part_Methodology,Year,Author_Year,Database,References
Aesculus hippocast anurn L.,Flowers_Pet.Ether_extract,1994,Buchbauer_1994,AROMADB-CIMAP,"Buchbauer, G., Jirovetz, L., Wasicky, M., & Nikiforov, A. (1994). Volatiles of common horsechestnut (Aesculus hippocastanum L.)(Hippocastanaceae) blossoms. Journal of Essential Oil Research, 6(1), 93-95."
Aesculus hippocast anurn L.,Flowers_MeOH_extract,1994,Buchbauer_1994,AROMADB-CIMAP,"Buchbauer, G., Jirovetz, L., Wasicky, M., & Nikiforov, A. (1994). Volatiles of common horsechestnut (Aesculus hippocastanum L.)(Hippocastanaceae) blossoms. Journal of Essential Oil Research, 6(1), 93-95."
Laurus nobilis L.,Flowers/Essential Oil,1997,"C. Fiorini, I. Fouraste,B. David and J. M. BessieÁre/1997",AROMADB-CIMAP,"Fiorini, C., Fouraste, I., David, B., & Bessiere, J. M. (1997). Composition of the Flower, Leaf and Stem Essential Oils from Laurus nobilis. Flavour and fragrance journal, 12(2), 91-93."
Laurus nobilis L.,Leaves/Essential Oil,1997,"C. Fiorini, I. Fouraste,B. David and J. M. BessieÁre/1997",AROMADB-CIMAP,"Fiorini, C., Fouraste, I., David, B., & Bessiere, J. M. (1997). Composition of the Flower, Leaf and Stem Essential Oils from Laurus nobilis. Flavour and fragrance journal, 12(2), 91-93."
Laurus nobilis L.,Steam(Bark)/Essential Oil,1997,"C. Fiorini, I. Fouraste,B. David and J. M. BessieÁre/1997",AROMADB-CIMAP,"Fiorini, C., Fouraste, I., David, B., & Bessiere, J. M. (1997). Composition of the Flower, Leaf and Stem Essential Oils from Laurus nobilis. Flavour and fragrance journal, 12(2), 91-93."
Laurus nobilis L.,Steam(Wood)/Essential Oil,1997,"C. Fiorini, I. Fouraste,B. David and J. M. BessieÁre/1997",AROMADB-CIMAP,"Fiorini, C., Fouraste, I., David, B., & Bessiere, J. M. (1997). Composition of the Flower, Leaf and Stem Essential Oils from Laurus nobilis. Flavour and fragrance journal, 12(2), 91-93."
Schinus molle,Leaves/Essential oil,2008,"Cecilia Díaz, Silvia Quesada , Oscar Brenes , Gilda Aguilar  & José F. Cicció/2008",AROMADB-CIMAP,"Diaz, C., Quesada, S., Brenes, O., Aguilar, G., & Ciccio, J. F. (2008). Chemical composition of Schinus molle essential oil and its cytotoxic activity on tumour cell lines. Natural product research, 22(17), 1521-1534."
Monarda citriodora var. citriodora,Plants/Essential Oil,1997,Chris D. Bishop' and Ian B. Thornton/1997,AROMADB-CIMAP,"Bishop, C. D., & Thornton, I. B. (1997). Evaluation of the antifungal activity of the essential oils of Monarda citriodora var. citriodora and Melaleuca alternifolia on post-harvest pathogens. Journal of Essential Oil Research, 9(1), 77-82."
Melaleuca alternifolia,Essential Oil,1997,Chris D. Bishop' and Ian B. Thornton/1997,AROMADB-CIMAP,"Bishop, C. D., & Thornton, I. B. (1997). Evaluation of the antifungal activity of the essential oils of Monarda citriodora var. citriodora and Melaleuca alternifolia on post-harvest pathogens. Journal of Essential Oil Research, 9(1), 77-82."
Melissa officicnalis L.,Leaf_EO,2004,de Sousa_2004,AROMADB-CIMAP,"De Sousa, A. C., Alviano, D. S., Blank, A. F., Alves, P. B., Alviano, C. S., & Gattass, C. R. (2004). Melissa officinalis L. essential oil: antitumoral and antioxidant activities. Journal of pharmacy and pharmacology, 56(5), 677-681."
