Name,Biosynthetic_class,Structural_class,EXT_k2,EXT_k3,EXT_k4,EXT_k5,EXT_k6,EXT_k7,EXT_k8,EXT_k9,EXT_k10,MACCS_k2,MACCS_k3,MACCS_k4,MACCS_k5,MACCS_k6,MACCS_k7,MACCS_k8,MACCS_k9,MACCS_k10,PubChem_k2,PubChem_k3,PubChem_k4,PubChem_k5,PubChem_k6,PubChem_k7,PubChem_k8,PubChem_k9,PubChem_k10,Sub_k2,Sub_k3,Sub_k4,Sub_k5,Sub_k6,Sub_k7,Sub_k8,Sub_k9,Sub_k10,SubCount_k2,SubCount_k3,SubCount_k4,SubCount_k5,SubCount_k6,SubCount_k7,SubCount_k8,SubCount_k9,SubCount_k10
ethyl dodecanote,FADs,Aliphatics and C5 branched,1,2,3,4,0,1,1,1,6,0,0,1,1,2,0,4,5,5,0,1,2,1,2,3,5,1,4,1,1,3,3,2,2,2,5,2,0,1,1,2,0,4,4,4,8
Ethyl hexadecanoate,FADs,Aliphatics and C5 branched,1,2,3,4,0,1,1,1,6,0,0,1,1,2,0,4,5,5,0,1,2,1,2,3,5,1,4,1,1,3,3,2,2,2,5,2,0,1,1,2,0,4,0,4,8
ethyl hexanoate,FADs,Aliphatics and C5 branched,1,2,3,4,0,1,1,1,6,0,0,1,1,2,0,4,5,5,0,1,2,1,2,3,5,1,4,1,1,3,3,2,2,2,5,2,1,0,0,1,5,5,3,6,1
Ethyl isobutanoate,FADs,Aliphatics and C5 branched,1,2,3,4,0,1,1,1,6,0,2,1,1,2,0,4,5,5,0,1,2,1,2,3,5,1,4,1,1,3,3,2,2,2,5,2,1,0,0,1,5,5,1,7,7
Ethyl isovalerate,FADs,Aliphatics and C5 branched,1,2,3,4,0,1,1,1,6,0,0,1,1,2,0,4,5,5,0,1,2,1,2,3,5,1,4,1,1,3,3,2,2,2,5,2,1,0,0,1,5,5,3,6,1
Ethyl linolate,FADs,Aliphatics and C5 branched,0,0,3,0,5,1,6,0,0,0,0,1,1,2,0,4,5,5,0,1,0,4,1,0,5,3,5,1,1,3,3,2,2,2,5,2,0,1,1,2,0,4,0,4,8
Ethyl linolenate,FADs,Aliphatics and C5 branched,0,0,3,0,5,1,6,0,0,0,0,1,1,2,0,4,5,5,0,1,0,4,1,0,5,3,5,1,1,3,3,2,2,2,5,2,0,1,1,2,0,4,0,4,8
Ethyl myristate,FADs,Aliphatics and C5 branched,1,2,3,4,0,1,1,1,6,0,0,1,1,2,0,4,5,5,0,1,2,1,2,3,5,1,4,1,1,3,3,2,2,2,5,2,0,1,1,2,0,4,0,4,8
Ethyl octadec-9-enoate,FADs,Aliphatics and C5 branched,0,0,3,0,5,1,6,0,0,0,0,1,1,2,0,4,5,5,0,1,0,4,1,0,5,3,5,1,1,3,3,2,2,2,5,2,0,1,1,2,0,4,0,4,8
Ethyl octanoate,FADs,Aliphatics and C5 branched,1,2,3,4,0,1,1,1,6,0,0,1,1,2,0,4,5,5,0,1,2,1,2,3,5,1,4,1,1,3,3,2,2,2,5,2,1,0,0,1,1,6,4,8,5
Ethyl oleate,FADs,Aliphatics and C5 branched,0,0,3,0,5,1,6,0,0,0,0,1,1,2,0,4,5,5,0,1,0,4,1,0,5,3,5,1,1,3,3,2,2,2,5,2,0,1,1,2,0,4,0,4,8
Ethyl phenylacetate,Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,7,5,0,2,2,1,2,0,4,5,5,1,2,1,2,5,4,0,5,7,1,1,3,3,2,2,2,5,2,1,0,3,3,2,0,5,5,4
Ethyl salicylate,Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,4,8,5,0,2,2,3,4,2,3,8,9,1,2,1,3,5,2,3,2,7,1,2,1,0,4,5,6,0,9,1,0,3,3,2,0,5,5,4
Ethyl stearate,FADs,Aliphatics and C5 branched,1,2,3,4,0,1,1,1,6,0,0,1,1,2,0,4,5,5,0,1,2,1,2,3,5,1,4,1,1,3,3,2,2,2,5,2,0,1,1,2,0,4,0,4,8
Ethyl tiglate,FADs,Aliphatics and C5 branched,1,2,3,4,0,1,1,1,6,0,2,1,1,2,0,4,5,1,0,1,0,4,1,0,6,3,5,1,2,1,1,3,0,0,3,5,1,0,0,1,5,5,1,7,7
ethyl valerate,FADs,Aliphatics and C5 branched,1,2,3,4,0,1,1,1,6,0,0,1,1,2,0,4,5,5,0,1,2,1,2,3,5,1,4,1,1,3,3,2,2,2,5,2,1,0,0,1,5,5,3,6,1
Ethyl-2-methyl-benzene,Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,7,9,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,0,5,8,1,1,3,0,1,6,7,2,6,1,0,3,3,2,0,5,5,4
