Feature,Importance_permutation,Rank
guaiol,0,Genus
Epi-cubenol,0,Genus
eicosane,0,Genus
E-Isoeugenol,0,Genus
E-linalool oxide (pyranoid),0,Genus
E-methyl cinnamate,0,Genus
E-methyl isoeugenol,0,Genus
Hexacosane,0,Genus
hexadecanal,0,Genus
Myrtenol,0,Genus
myrtenyl acetate,0,Genus
g-eudesmol,0,Genus
Muurolol,0,Genus
m-Xylene,0,Genus
Myristic acid,0,Genus
Methyl jasmonate,0,Genus
2-methyl octane,0,Genus
a-bisabolol,0,Genus
3-hexanone,0,Genus
3-methyl nonane,0,Genus
3-Methylbutyl 3-methylbutanoate,0,Genus
"4,8-dimethyl-1,3,7-nonatriene",0,Genus
2-methyl dodecane,0,Genus
a-cedrene,0,Genus
Acetoin,0,Genus
Acetone,0,Genus
5-methylfurfural,0,Genus
Lilac alcohol A,0,Genus
a-amorphene,0,Genus
a-bergamotene,0,Genus
a-eudesmol,0,Genus
a-fenchol,0,Genus
a-fenchyl acetate,0,Genus
a-guaiene,0,Genus
a-bulnesene,0,Genus
a-calacorene,0,Genus
a-campholenal,0,Genus
cis-carveol,0,Genus
Viridiflorene,0,Genus
"Z,E-a-bergamotol",0,Genus
"Z,E-farnesol",0,Genus
"Z,Z-9,12-octadecadienoic acid",0,Genus
"Z,Z-farnesol",0,Genus
"6,10,14-trimethyl -2-pentadecanone",0,Genus
Linalool oxide (furanoid),0,Genus
isobornyl acetate,0,Genus
Isobutanol,0,Genus
Isobutyl acetate,0,Genus
Isocaryophyllene,0,Genus
isomenthone,0,Genus
Isopentanal,0,Genus
Methyl anthranilate,0,Genus
Methyl 2-methylbutanoate,0,Genus
Isoprene,0,Genus
kaurene,0,Genus
Lavandulol,0,Genus
ledol,0,Genus
Nonanol,0,Genus
cis-dihydrocarvone,0,Genus
Methyl epi-jasmonate,0,Genus
methyl decanoate,0,Genus
methyl carvacrol,0,Genus
Methyl butanoate,0,Genus
Methyl stearate,0,Genus
Methyl octanoate,0,Genus
Methyl linolenate,0,Genus
cis-citral,0,Genus
cis-jasmin lactone,0,Genus
methyl guaiacol,0,Genus
Methyl ethyl ketone,0,Genus
2-hexanone,0,Genus
cis-a-bergamotene,0,Genus
Z-3-hexenyl isovalerate,0,Genus
Z-rose oxide,0,Genus
cis-p-menth-2-en-1-ol,0,Genus
cis-pinocamphone,0,Genus
3-carene,0,Genus
Pinene,0,Genus
Tetradecanol,0,Genus
thymol methyl ether,0,Genus
T-muurolol,0,Genus
Torreyol,0,Genus
tricosane,0,Genus
2-methyl decane,0,Genus
bulnesol,0,Genus
Benzyl nitrile,0,Genus
benzyl salicylate,0,Genus
benzyl tiglate,0,Genus
b-eudesmol,0,Genus
b-gurjunene,0,Genus
"Cadina-3,9-diene",0,Genus
Cadinene,0,Genus
Ethyl 3-methylbutanoate,0,Genus
Cyperene,0,Genus
a-Ionene,0,Genus
a-himachalene,0,Genus
a-gurjunene,0,Genus
aromadendrene,0,Genus
apiole,0,Genus
"Cadina-1,3,5-triene",0,Genus
b-patchoulene,0,Genus
butyl acetate,0,Genus
Butanol,0,Genus
Butanoic acid,0,Genus
a-Longipinene,0,Genus
Alloaromadendrene,0,Genus
b-thujone,0,Genus
b-sesquiphellandrene,0,Genus
b-Selenine,0,Genus
"cadina-1 ,4-diene",0,Genus
2-phenethyl benzoate,0,Genus
2-phenylethyl acetate,0,Genus
2-tridecanone,0,Genus
2-undecanone,0,Genus
tridecane,0,Genus
Vanillin,0,Genus
Verbenene,0,Genus
Methyl linoleate,0,Genus
a-Elemol,0,Genus
"1,10-di-epi-cubenol",0,Genus
"1,2,3-trimethylbenzene",0,Genus
12-methyl-tridecanol,0,Genus
"2,3-butanediol",0,Genus
"2,3-dehydro-1,8-cineole",0,Genus
2-butanol,0,Genus
tetradecanal,0,Genus
Tetracosane,0,Genus
terpinylacetate,0,Genus
Sylvestrene,0,Genus
salvial-4(14)en-1-one,0,Genus
Artemisia ketone,0,Genus
Artemisia alcohol,0,Genus
b-chamigrene,0,Genus
2-dodecenol,0,Genus
b-calacorene,0,Genus
b-bourbonene,0,Genus
b-Bisabolol,0,Genus
2-methyl-3-buten-2-ol,0,Genus
a-p-Dimethyl styrene,0,Genus
2-heptanone,0,Genus
2-heptanol,0,Genus
2-ethyl-1-hexanol,0,Genus
b-cedrene,0,Genus
"E-4,8-Dimethyl-1,3,7-nonatriene",0,Genus
trans-alpha bergamotene,0,Genus
Dodecanol,0,Genus
D-Selinene,0,Genus
d-terpineol,0,Genus
E-cinnamyl acetate,0,Genus
E-Geranyl acetone,0,Genus
E-anethole,0,Genus
E-b-damascenone,0,Genus
E-b-ocimene epoxide,0,Genus
E-b-terpineol,0,Genus
Ethyl 2-methylbutanoate,0,Genus
trans-nerolidol,0,Genus
E-Phytol,0,Genus
epi-a-cubenol,0,Genus
Cinnamyl alcohol,0,Genus
p-Cymen-8-ol,0,Genus
p-cresol,0,Genus
Nonadecene,0,Genus
Nonadecane,0,Genus
Nitro-2-phenylethane,0,Genus
n-Hexane,0,Genus
Octanol,0,Genus
epi- a-Muurolol,0,Genus
E-rose oxide,0,Genus
Fenchol,0,Genus
Ethylbenzene,0,Genus
Ethyl myristate,0,Genus
ethyl hexanoate,0,Genus
Ethyl hexadecanoate,0,Genus
Ethyl benzoate,0,Genus
epi-bicyclosesquiphellandrene,0,Genus
ethanol,0,Genus
dillapiole,0,Genus
Benzyl isovalerate,0,Genus
benzoic acid,0,Genus
decanol,0,Genus
decanoic acid,0,Genus
dodecanoic acid,0,Genus
Dodecane,0,Genus
E-3-hexen-1-ol,0,Genus
docosane,0,Genus
cyclosativene,0,Genus
cuminol,0,Genus
cubebol,0,Genus
cryptone,0,Genus
Dihydro-b-ionone,0,Genus
dihydro carveole,0,Genus
E-cinnamic alcohol,0,Genus
dodecanal,0,Genus
E-2-octen-1-al,0,Genus
Pentadecanal,0,Genus
pentacosane,0,Genus
p-cymenene,0,Genus
"E,Z-farnesol",0,Genus
"E,E-farnesyl acetate",0,Genus
"E,E-a-farnesol",0,Genus
dimethyl disulfide,0,Genus
Oleic acid,0,Genus
o-guaiacol,0,Genus
o-cymene,0,Genus
Octen-3-ol,0,Genus
perillene,0,Genus
pentanal,0,Genus
Pentadecene,0,Genus
pentadecanoic acid,0,Genus
"E,E-farnesol",0,Genus
DL-Linalool,-0.000719424,Genus
b-ocimene,-0.000719424,Genus
a-Ylangene,-0.000719424,Genus
menthone,-0.000719424,Genus
toluene,-0.000719424,Genus
E-nerolidol,-0.000719424,Genus
g- Cadinene,-0.000719424,Genus
pinocarvone,-0.000719424,Genus
a-Selenine,-0.000719424,Genus
calamenene,-0.000719424,Genus
methyl hexadecanoate,-0.000719424,Genus
Methyl dodecanoate,-0.000719424,Genus
Z-3-Hexenol,-0.000719424,Genus
Z-3-Hexenyl butyrate,-0.000719424,Genus
Styrene,-0.000719424,Genus
pulegone,-0.000719424,Genus
E-b-ionone,-0.000719424,Genus
D-Limonene,-0.000719424,Genus
d-elemene,-0.000719424,Genus
Methyl myristate,-0.000719424,Genus
Carvacrol,-0.000719424,Genus
hexanal,-0.000719424,Genus
camphor,-0.000719424,Genus
trans-carveol,-0.000719424,Genus
menthyl acetate,-0.000719424,Genus
Fenchone,-0.000719424,Genus
g-elemene,-0.000719424,Genus
germacrene B,-0.000719424,Genus
heneicosane,-0.000719424,Genus
elemicin,-0.000719424,Genus
isopulegol,-0.000719424,Genus
E-cinnamaldehyde,-0.000719424,Genus
nonanoic acid,-0.000719424,Genus
trans-limonene epoxide,-0.000719424,Genus
octanoic acid,-0.000719424,Genus
o-Xylene,-0.000719424,Genus
E-2-heptenal,-0.000719424,Genus
E-2-decenal,-0.000719424,Genus
E-2-hexene-1-ol,-0.000719424,Genus
Nonane,-0.000719424,Genus
Tricyclene,-0.000719424,Genus
undecanal,-0.000719424,Genus
valencene,-0.000719424,Genus
2-pentylfuran,-0.000719424,Genus
6-methyl-5- hepten-2-ol,-0.000719424,Genus
acetic acid,-0.000719424,Genus
Acetophenone,-0.000719424,Genus
"Z,E-a-farnesene",-0.000719424,Genus
benzaldehyde,-0.001438849,Genus
E-linalool oxide (furanoid),-0.001438849,Genus
4-methyl anisole,-0.001438849,Genus
germacrene D-4-ol,-0.001438849,Genus
E-b-damascone,-0.001438849,Genus
Z-3-hexenyl benzoate,-0.001438849,Genus
Z-jasmone,-0.001438849,Genus
bornyl acetate,-0.001438849,Genus
allo-ocimene,-0.001438849,Genus
Tetradecane,-0.001438849,Genus
phenylacetaldehyde,-0.001438849,Genus
b-bisabolene,-0.001438849,Genus
Z-3-Hexenyl acetate,-0.001438849,Genus
Cuminal,-0.001438849,Genus
trans-pinocarveol,-0.001438849,Genus
E-b-ocimene,-0.002158273,Genus
methyl benzoate,-0.002158273,Genus
SubFP137,-0.002158273,Genus
Menthol,-0.002158273,Genus
methyl eugenol,-0.002158273,Genus
Spathulenol,-0.002158273,Genus
SubFP12,-0.002158273,Genus
bicyclogermacrene,-0.003597122,Genus
E-geraniol,-0.003597122,Genus
SubFP88,-0.003597122,Genus
a-cubebene,-0.003597122,Genus
Z-b-Farnesene,-0.004316547,Genus
p-cymene,-0.005035971,Genus
Limonene,-0.005035971,Genus
SubFP295,-0.005035971,Genus
SubFP4,-0.005035971,Genus
Neral,-0.005755396,Genus
a-curcumene,-0.00647482,Genus
Estragole,-0.00647482,Genus
6-Methylhept-5-en-2-one,-0.00647482,Genus
E-sabinene hydrate,-0.00647482,Genus
Geranyl acetate,-0.00647482,Genus
trans-p-menth-2-en-1-ol,-0.007194245,Genus
Z-Linalool oxide (furanoid),-0.007194245,Genus
SubFP2,-0.007194245,Genus
cubenol,-0.007194245,Genus
citronellal,-0.007194245,Genus
SubFP274,-0.007913669,Genus
Benzyl alcohol,-0.007913669,Genus
b-Caryophyllene oxide,-0.007913669,Genus
SubFP3,-0.009352518,Genus
SubFP287,-0.010071942,Genus
Eugenol,-0.010791367,Genus
a-terpinene,-0.010791367,Genus
E-citral,-0.01294964,Genus
SubFP302,-0.014388489,Genus
