Actual,Abies,Acacia,Achillea,Acorus,Actaea,Actinidia,Aerangis,Aesculus,Aframomum,Ageratum,Allamanda,Allium,Aloysia,Alpinia,Ammandra,Amomum,Amyris,Anacardium,Anaphalis,Anaxagorea,Anethum,Angelica,Annona,Anthriscus,Anthurium,Antirrhinum,Aphandra,Apium,Arnica,Artemisia,Avicennia,Backhousia,Bartsia,Bauhinia,Belliolum,Berberis,Bixa,Boswellia,Brassica,Bruguiera,CRASSOCEPHALUM,Calendula,Cananga,Carduus,Carum,Caryopteris,Cascabela,Cassytha,Catharanthus,Causonia,Ceiba,Centaurea,Centella,Centratherum,Chamaemelum,Chloranthus,Chrysactinia,Chrysopogon,Chukrasia,Cinnamomum,Cistus,Citrus,Clinopodium,Cochleostema,Conopodium,Coriandrum,Coryanthes,Couroupita,Crinum,Crithmum,Cuminum,Cupressus,Cycas,Cyclamen,Cyclanthus,Cymbidium,Cymbopogan,Cymbopogon,Cyperus,Cypripedium,Daphne,Dianthus,Dictamnus,Discocactus,Dracocephalum,Duguetia,Elsholtzia,Encephalartos,Epidendrum,Espostoa,Eucalyptus,Eugenia,Eupomatia,Exacum,Ficus,Foeniculum,Fritillaria,Galium,Geranium,Glebionis,Glycyrrhiza,Gymnema,Harrisia,Hedychium,Helioptropium,Hibiscus,Hypericum,Inga,Iochroma,Jasminum,Juniperus,Kandelia,Lathyrus,Laurus,Lavandula,Lawsonia,Lecythis,Leontopodium,Levisticum,Ligustrum,Lippia,Liriodendron,Litsea,Lonicera,Lumnitzera,MENTHA,Macoubea,Macrozamia,Magnolia,Malus,Mangifera,Marrubium,Matricaria,Melaleuca,Melissa,Mentha,Meum,Mikania,Monarda,Monodora,Murraya,Myristica,Myrtus,Mystacidium,Naregamia,Nelumbo,Nepeta,Nyctanthes,Nypa,Ocimum,Ocotea,Oenanthe,Olea,Oliveria,Ophrys,Origanum,Osmanthus,Parkia,Pelargonium,Pemphis,Pereskia,Peristeria,Petroselinum,Phalaenopsis,Phlox,Phytelephas,Pilosocereus,Pimpinella,Piper,Pistacia,Plantago,Plumeria,Pogostemon,Posoqueria,Prunus,Pyrus,Ranunculus,Ravensara,Rhizophora,Ribes,Rollinia,Rosa,Salix,Salvia,Santalum,Saponaria,Satureja,Sauromatum,Saussurea,Schinus,Selenicereus,Sonneratia,Stachys,Syringa,Syzygium,Tagetes,Tanacetum,Thymus,Tiliae,Valeriana,Vanda,Viola,Vitis,Xylopia,Zamia,Zingiber,Zygogynum,Zygopetalum,Abies,Acacia,Achillea,Acorus,Actaea,Actinidia,Aerangis,Aesculus,Aframomum,Ageratum,Allamanda,Allium,Aloysia,Alpinia,Ammandra,Amomum,Amyris,Anacardium,Anaphalis,Anaxagorea,Anethum,Angelica,Annona,Anthriscus,Anthurium,Antirrhinum,Aphandra,Apium,Arnica,Artemisia,Avicennia,Backhousia,Bartsia,Bauhinia,Belliolum,Berberis,Bixa,Boswellia,Brassica,Bruguiera,CRASSOCEPHALUM,Calendula,Cananga,Carduus,Carum,Caryopteris,Cascabela,Cassytha,Catharanthus,Causonia,Ceiba,Centaurea,Centella,Centratherum,Chamaemelum,Chloranthus,Chrysactinia,Chrysopogon,Chukrasia,Cinnamomum,Cistus,Citrus,Clinopodium,Cochleostema,Conopodium,Coriandrum,Coryanthes,Couroupita,Crinum,Crithmum,Cuminum,Cupressus,Cycas,Cyclamen,Cyclanthus,Cymbidium,Cymbopogan,Cymbopogon,Cyperus,Cypripedium,Daphne,Dianthus,Dictamnus,Discocactus,Dracocephalum,Duguetia,Elsholtzia,Encephalartos,Epidendrum,Espostoa,Eucalyptus,Eugenia,Eupomatia,Exacum,Ficus,Foeniculum,Fritillaria,Galium,Geranium,Glebionis,Glycyrrhiza,Gymnema,Harrisia,Hedychium,Helioptropium,Hibiscus,Hypericum,Inga,Iochroma,Jasminum,Juniperus,Kandelia,Lathyrus,Laurus,Lavandula,Lawsonia,Lecythis,Leontopodium,Levisticum,Ligustrum,Lippia,Liriodendron,Litsea,Lonicera,Lumnitzera,MENTHA,Macoubea,Macrozamia,Magnolia,Malus,Mangifera,Marrubium,Matricaria,Melaleuca,Melissa,Mentha,Meum,Mikania,Monarda,Monodora,Murraya,Myristica,Myrtus,Mystacidium,Naregamia,Nelumbo,Nepeta,Nyctanthes,Nypa,Ocimum,Ocotea,Oenanthe,Olea,Oliveria,Ophrys,Origanum,Osmanthus,Parkia,Pelargonium,Pemphis,Pereskia,Peristeria,Petroselinum,Phalaenopsis,Phlox,Phytelephas,Pilosocereus,Pimpinella,Piper,Pistacia,Plantago,Plumeria,Pogostemon,Posoqueria,Prunus,Pyrus,Ranunculus,Ravensara,Rhizophora,Ribes,Rollinia,Rosa,Salix,Salvia,Santalum,Saponaria,Satureja,Sauromatum,Saussurea,Schinus,Selenicereus,Sonneratia,Stachys,Syringa,Syzygium,Tagetes,Tanacetum,Thymus,Tiliae,Valeriana,Vanda,Viola,Vitis,Xylopia,Zamia,Zingiber,Zygogynum,Zygopetalum,Abies,Acacia,Achillea,Acorus,Actaea,Actinidia,Aerangis,Aesculus,Aframomum,Ageratum,Allamanda,Allium,Aloysia,Alpinia,Ammandra,Amomum,Amyris,Anacardium,Anaphalis,Anaxagorea,Anethum,Angelica,Annona,Anthriscus,Anthurium,Antirrhinum,Aphandra,Apium,Arnica,Artemisia,Avicennia,Backhousia,Bartsia,Bauhinia,Belliolum,Berberis,Bixa,Boswellia,Brassica,Bruguiera,CRASSOCEPHALUM,Calendula,Cananga,Carduus,Carum,Caryopteris,Cascabela,Cassytha,Catharanthus,Causonia,Ceiba,Centaurea,Centella,Centratherum,Chamaemelum,Chloranthus,Chrysactinia,Chrysopogon,Chukrasia,Cinnamomum,Cistus,Citrus,Clinopodium,Cochleostema,Conopodium,Coriandrum,Coryanthes,Couroupita,Crinum,Crithmum,Cuminum,Cupressus,Cycas,Cyclamen,Cyclanthus,Cymbidium,Cymbopogan,Cymbopogon,Cyperus,Cypripedium,Daphne,Dianthus,Dictamnus,Discocactus,Dracocephalum,Duguetia,Elsholtzia,Encephalartos,Epidendrum,Espostoa,Eucalyptus,Eugenia,Eupomatia,Exacum,Ficus,Foeniculum,Fritillaria,Galium,Geranium,Glebionis,Glycyrrhiza,Gymnema,Harrisia,Hedychium,Helioptropium,Hibiscus,Hypericum,Inga,Iochroma,Jasminum,Juniperus,Kandelia,Lathyrus,Laurus,Lavandula,Lawsonia,Lecythis,Leontopodium,Levisticum,Ligustrum,Lippia,Liriodendron,Litsea,Lonicera,Lumnitzera,MENTHA,Macoubea,Macrozamia,Magnolia,Malus,Mangifera,Marrubium,Matricaria,Melaleuca,Melissa,Mentha,Meum,Mikania,Monarda,Monodora,Murraya,Myristica,Myrtus,Mystacidium,Naregamia,Nelumbo,Nepeta,Nyctanthes,Nypa,Ocimum,Ocotea,Oenanthe,Olea,Oliveria,Ophrys,Origanum,Osmanthus,Parkia,Pelargonium,Pemphis,Pereskia,Peristeria,Petroselinum,Phalaenopsis,Phlox,Phytelephas,Pilosocereus,Pimpinella,Piper,Pistacia,Plantago,Plumeria,Pogostemon,Posoqueria,Prunus,Pyrus,Ranunculus,Ravensara,Rhizophora,Ribes,Rollinia,Rosa,Salix,Salvia,Santalum,Saponaria,Satureja,Sauromatum,Saussurea,Schinus,Selenicereus,Sonneratia,Stachys,Syringa,Syzygium,Tagetes,Tanacetum,Thymus,Tiliae,Valeriana,Vanda,Viola,Vitis,Xylopia,Zamia,Zingiber,Zygogynum,Zygopetalum,Abies,Acacia,Achillea,Acorus,Actaea,Actinidia,Aerangis,Aesculus,Aframomum,Ageratum,Allamanda,Allium,Aloysia,Alpinia,Ammandra,Amomum,Amyris,Anacardium,Anaphalis,Anaxagorea,Anethum,Angelica,Annona,Anthriscus,Anthurium,Antirrhinum,Aphandra,Apium,Arnica,Artemisia,Avicennia,Backhousia,Bartsia,Bauhinia,Belliolum,Berberis,Bixa,Boswellia,Brassica,Bruguiera,CRASSOCEPHALUM,Calendula,Cananga,Carduus,Carum,Caryopteris,Cascabela,Cassytha,Catharanthus,Causonia,Ceiba,Centaurea,Centella,Centratherum,Chamaemelum,Chloranthus,Chrysactinia,Chrysopogon,Chukrasia,Cinnamomum,Cistus,Citrus,Clinopodium,Cochleostema,Conopodium,Coriandrum,Coryanthes,Couroupita,Crinum,Crithmum,Cuminum,Cupressus,Cycas,Cyclamen,Cyclanthus,Cymbidium,Cymbopogan,Cymbopogon,Cyperus,Cypripedium,Daphne,Dianthus,Dictamnus,Discocactus,Dracocephalum,Duguetia,Elsholtzia,Encephalartos,Epidendrum,Espostoa,Eucalyptus,Eugenia,Eupomatia,Exacum,Ficus,Foeniculum,Fritillaria,Galium,Geranium,Glebionis,Glycyrrhiza,Gymnema,Harrisia,Hedychium,Helioptropium,Hibiscus,Hypericum,Inga,Iochroma,Jasminum,Juniperus,Kandelia,Lathyrus,Laurus,Lavandula,Lawsonia,Lecythis,Leontopodium,Levisticum,Ligustrum,Lippia,Liriodendron,Litsea,Lonicera,Lumnitzera,MENTHA,Macoubea,Macrozamia,Magnolia,Malus,Mangifera,Marrubium,Matricaria,Melaleuca,Melissa,Mentha,Meum,Mikania,Monarda,Monodora,Murraya,Myristica,Myrtus,Mystacidium,Naregamia,Nelumbo,Nepeta,Nyctanthes,Nypa,Ocimum,Ocotea,Oenanthe,Olea,Oliveria,Ophrys,Origanum,Osmanthus,Parkia,Pelargonium,Pemphis,Pereskia,Peristeria,Petroselinum,Phalaenopsis,Phlox,Phytelephas,Pilosocereus,Pimpinella,Piper,Pistacia,Plantago,Plumeria,Pogostemon,Posoqueria,Prunus,Pyrus,Ranunculus,Ravensara,Rhizophora,Ribes,Rollinia,Rosa,Salix,Salvia,Santalum,Saponaria,Satureja,Sauromatum,Saussurea,Schinus,Selenicereus,Sonneratia,Stachys,Syringa,Syzygium,Tagetes,Tanacetum,Thymus,Tiliae,Valeriana,Vanda,Viola,Vitis,Xylopia,Zamia,Zingiber,Zygogynum,Zygopetalum,Abies,Acacia,Achillea,Acorus,Actaea,Actinidia,Aerangis,Aesculus,Aframomum,Ageratum,Allamanda,Allium,Aloysia,Alpinia,Ammandra,Amomum,Amyris,Anacardium,Anaphalis,Anaxagorea,Anethum,Angelica,Annona,Anthriscus,Anthurium,Antirrhinum,Aphandra,Apium,Arnica,Artemisia,Avicennia,Backhousia,Bartsia,Bauhinia,Belliolum,Berberis,Bixa,Boswellia,Brassica,Bruguiera,CRASSOCEPHALUM,Calendula,Cananga,Carduus,Carum,Caryopteris,Cascabela,Cassytha,Catharanthus,Causonia,Ceiba,Centaurea,Centella,Centratherum,Chamaemelum,Chloranthus,Chrysactinia,Chrysopogon,Chukrasia,Cinnamomum,Cistus,Citrus,Clinopodium,Cochleostema,Conopodium,Coriandrum,Coryanthes,Couroupita,Crinum,Crithmum,Cuminum,Cupressus,Cycas,Cyclamen,Cyclanthus,Cymbidium,Cymbopogan,Cymbopogon,Cyperus,Cypripedium,Daphne,Dianthus,Dictamnus,Discocactus,Dracocephalum,Duguetia,Elsholtzia,Encephalartos,Epidendrum,Espostoa,Eucalyptus,Eugenia,Eupomatia,Exacum,Ficus,Foeniculum,Fritillaria,Galium,Geranium,Glebionis,Glycyrrhiza,Gymnema,Harrisia,Hedychium,Helioptropium,Hibiscus,Hypericum,Inga,Iochroma,Jasminum,Juniperus,Kandelia,Lathyrus,Laurus,Lavandula,Lawsonia,Lecythis,Leontopodium,Levisticum,Ligustrum,Lippia,Liriodendron,Litsea,Lonicera,Lumnitzera,MENTHA,Macoubea,Macrozamia,Magnolia,Malus,Mangifera,Marrubium,Matricaria,Melaleuca,Melissa,Mentha,Meum,Mikania,Monarda,Monodora,Murraya,Myristica,Myrtus,Mystacidium,Naregamia,Nelumbo,Nepeta,Nyctanthes,Nypa,Ocimum,Ocotea,Oenanthe,Olea,Oliveria,Ophrys,Origanum,Osmanthus,Parkia,Pelargonium,Pemphis,Pereskia,Peristeria,Petroselinum,Phalaenopsis,Phlox,Phytelephas,Pilosocereus,Pimpinella,Piper,Pistacia,Plantago,Plumeria,Pogostemon,Posoqueria,Prunus,Pyrus,Ranunculus,Ravensara,Rhizophora,Ribes,Rollinia,Rosa,Salix,Salvia,Santalum,Saponaria,Satureja,Sauromatum,Saussurea,Schinus,Selenicereus,Sonneratia,Stachys,Syringa,Syzygium,Tagetes,Tanacetum,Thymus,Tiliae,Valeriana,Vanda,Viola,Vitis,Xylopia,Zamia,Zingiber,Zygogynum,Zygopetalum
Abies,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Acacia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achillea,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
